ID,OBJETO,ENDEREÇO,URLFotos,TAMANHO,ALUGUEL,VENDA,SITUAÇÃO,SITUAÇÃO.1,latitude,longitude,geometry,PRAZO_ENTREGA
1,TERRENO,CIEP ESTADUAL 170 -JARDIM NÓIA,https://github.com/inovacaodevsjm/MapaSJM/blob/main/CIEP%20ESTADUAL%20170%20.jpeg?raw=true    ,Sem Informação,Sem Informação,Sem Informação,SOLICITAR CESSÃO AO ESTADO (NECESSÁRIO PROJETO),"Bom Espaço, Porém dominado pelo tráfico",-22.761517607256984, -43.35573064157898,POINT (-43.35573064157898 -22.761517607256984),12/07/2026
2,TERRENO," RUA DA MATRIZ, 2242, PRÓXIMO AO POSTO DE GASOLINA",https://github.com/inovacaodevsjm/MapaSJM/blob/main/Rua%20Matriz.png?raw=true,Sem Informação,Sem Informação,Sem Informação,DESAPROPRIAÇÃO (PROJETO DE UMA PRAÇA),Verificar se irá construir uma praça ou se será uma escola/creche,-22.78685584149167, -43.383038660907495,POINT (-43.383038660907495 -22.78685584149167),12/07/2026
3,TERRENO,ANTÔNIO JOSÉ DE MORAES Nº320 - CENTRO,https://github.com/inovacaodevsjm/MapaSJM/blob/main/ANT%C3%94NIO%20JOS%C3%89%20DE%20MORAES%20320%20.jpeg?raw=true,"3100,00 M²",Sem Informação,2500000.0,CERTIDÃO DE ÔNUS REAIS,EXCELENTE,-22.801194762178707, -43.36579905973991,POINT (-43.36579905973991 -22.801194762178707),12/07/2026
5,TERRENO,"AV. DOS EX. COMBATENTES, ESQUINA COM DOMINGOS LEMOS – COELHO DA ROCHA",https://github.com/inovacaodevsjm/MapaSJM/blob/main/Ex%20combatente.png?raw=true,"1.687,25 M²",Sem Informação,Sem Informação,SOLICITAÇÃO DE DESAPROPRIAÇÃO PROC. 1659/2012,Bom,-22.782066990658087, -43.381591516403375,POINT (-43.381591516403375 -22.782066990658087),12/07/2026
6,TERRENO,"R. CACILDA, 1535 - VILAR DOS TELES",https://github.com/inovacaodevsjm/MapaSJM/blob/main/Rua%20Cacilda%20esquina.png?raw=true,1.000 M²,Sem Informação,Sem Informação,CERTIDÃO TRASCRIÇÃO DAS TRANSMISSÕES,Bom,-22.78130163922966, -43.388372431221185,POINT (-43.388372431221185 -22.78130163922966),12/07/2026
7,TERRENO,"AV GETULIO VARGAS, 30, VILA COLUMBIA, ESQUINA COM A RUA CARUNA",https://github.com/inovacaodevsjm/MapaSJM/blob/main/AV%20GETULIO%20VARGAS%2030.jpeg?raw=true,Sem Informação,Sem Informação,Sem Informação,ATIGO DEPOSITO,Sem Informação,-22.77699372873608, -43.342130525037426,POINT (-43.342130525037426 -22.77699372873608),12/07/2026
9,TERRENO,COMPLEXO DA VILA SÃO JOÃO – AVENIDA ALBERTO DE OLIVEIRA LOTE 17 QUADRA B,https://github.com/inovacaodevsjm/MapaSJM/blob/main/Av%20Alberto%20de%20Oliveira%20LT17.png?raw=true,500M²,Sem Informação,Sem Informação,PREFEITURA,Espaço para ampliação,-22.765584947629094, -43.351985335885416,POINT (-43.351985335885416 -22.765584947629094),12/07/2026
10,TERRENO,CRECHE VILA SÃO JOÃO - AVENIDA ALBERTO DE OLIVEIRA S/Nº,https://github.com/inovacaodevsjm/MapaSJM/blob/main/Av%20Alberto%20de%20Oliveira.png?raw=true,30M²,Sem Informação,Sem Informação,PREFEITURA,Espaço para ampliação ,-22.765641575768587, -43.35229733934127,POINT (-43.35229733934127 -22.765641575768587),12/07/2026
12,TERRENO,"RUA MANOEL GAMA, LT. 75, TOMAZNHO",https://github.com/inovacaodevsjm/MapaSJM/blob/main/RUA%20MANOEL%20GAMA75.jpeg?raw=true,500M²,50000,1300000.0,ELIANE PROPRIETÁRIA,Pequeno,-22.801732054491794, -43.394074035649695,POINT (-43.394074035649695 -22.801732054491794),12/07/2026
13,TERRENO,"RUA ANTONIO HERMONT, 246 E 348, SÃO NICOLAU",https://github.com/inovacaodevsjm/MapaSJM/blob/main/Rua%20Antonio%20Hermout.png?raw=true,1.250M²,40000,1600000.0,ENEAS CORREA,x,-22.809710382367488, -43.39199920666874,POINT (-43.39199920666874 -22.809710382367488),12/07/2026
15,COLÉGIO VITÓRIA,"R. BELKISS, 11 - COELHO DA ROCHA",https://github.com/inovacaodevsjm/MapaSJM/blob/main/Rua%20Belkiss%2059.png?raw=true,"2.262,80M²",55000,5500000.0,ISNARD PROPRIETÁRIO ,Bom - Necessário fazer manutenção,-22.773358521012238, -43.37544024957575,POINT (-43.37544024957575 -22.773358521012238),12/07/2026
16,COLÉGIO SANTA ANNA," RUA ROMEU TEODORICO DOS SANTOS, 491 - VENDA VELHA",https://github.com/inovacaodevsjm/MapaSJM/blob/main/RUA%20ROMEU%20TEODORICO%20DOS%20SANTOS%20491%20.jpeg?raw=true,Sem Informação,Sem Informação,Sem Informação,MARCOS PROPRIETÁRIO,Terreno grande - Necessário obra,-22.786295775230144, -43.340106949114784,POINT (-43.340106949114784 -22.786295775230144),12/07/2026
18,COLEGIO SOBEC,"AV. EUCLÍDES DA CUNHA, 26, VILA SÃO JOÃO",https://github.com/inovacaodevsjm/MapaSJM/blob/main/AV.%20EUCL%C3%8DDES%20DA%20CUNHA%2026.jpeg?raw=true,"2.000,00M²",Sem Informação,2500000.0,ROGÉRIO PINHO IMÓVEIS,"Bom, problema com drenagem e necessita de manutenção",-22.76697232121233, -43.35409591593573,POINT (-43.35409591593573 -22.76697232121233),12/07/2026
19,ESCOLA MARTIN LUTHER KING,"AV. COMENDADOR TELES, 3853, COELHO DA ROCHA",https://github.com/inovacaodevsjm/MapaSJM/blob/main/Av%20Comendador%20teles.png?raw=true,3.000 M²,100000,12000000.0,MÁRCIA PROPRIETÁRIA ,"bom, necessário fazer manutenção",-22.77363612524874, -43.364315374810204,POINT (-43.364315374810204 -22.77363612524874),12/07/2026
20,IMÓVEL,"DR. LUIZ SOBRAL, 577, VILA HUMAITÁ, TOMAZINHO",https://github.com/inovacaodevsjm/MapaSJM/blob/main/DR.%20LUIZ%20SOBRAL.jpeg?raw=true,750m²,"2.500,00 depósito inicial  50.000,00",Sem Informação,CLEIDE MARINS,Pequeno,-22.800404893503, -43.388855791597884,POINT (-43.388855791597884 -22.800404893503),12/07/2026
22,LAR DA CRIANÇA,"PIRACAJUBA, 536, VILA ZULMIRA",https://github.com/inovacaodevsjm/MapaSJM/blob/main/PIRACAJUBA.jpeg?raw=true,Sem Informação,Sem Informação,450000.0,DENISE BRANCO-  PROPRIETÁRIA (COM CORRETOR),Sem Informação,-22.786855484021213, -43.394782218977,POINT (-43.394782218977 -22.786855484021213),12/07/2026
